Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Random Forest,0.9979986657771848,0.45652173913043476,0.8571428571428571,0.5957446808510638,0.9789661943139664
XGBoost,0.9966995540886907,0.32954545454545453,0.8877551020408163,0.48066298342541436,0.9743712710886268
Logistic Regression,0.9938379972613322,0.20374707259953162,0.8877551020408163,0.3314285714285714,0.9696020149759397
Decision Tree,0.9929075524033566,0.17584745762711865,0.8469387755102041,0.2912280701754386,0.9064707199705994
